LOC_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR	x_meters	y_meters
M_78556_917929	"OFF WEST STREET"	0	0	78556	917929
M_78565_917437	"OFF WEST STREET"	0	0	78565	917437
M_78646_922290	"WEST MAIN STREET"	815	0	78646	922290
M_78652_918511	"WINDSOR AVENUE"	11	0	78652	918511
M_78673_918289	"OFF WEST STREET"	0	0	78673	918289
M_78689_918668	"WINDSOR AVENUE"	0	0	78689	918668
M_78689_922720	"WEST MAIN STREET"	818	0	78689	922720
M_78707_918398	"WINDSOR AVENUE"	7	0	78707	918398
M_78722_917936	"WEST STREET"	268	0	78722	917936
M_78744_918716	"WINDSOR AVENUE"	0	0	78744	918716
M_78795_918403	"WINDSOR AVENUE"	0	0	78795	918403
M_78807_918322	"WEST STREET"	0	0	78807	918322
M_78812_918569	"WINDSOR AVENUE"	10	0	78812	918569
M_78818_922237	"WEST MAIN STREET"	0	0	78818	922237
M_78833_917363	"OFF WEST STREET"	0	0	78833	917363
M_78835_918487	"WEST STREET"	0	0	78835	918487
M_78837_918947	"WEST STREET"	224	0	78837	918947
M_78852_919215	"WEST STREET"	0	0	78852	919215
M_78852_922673	"WEST MAIN STREET"	0	0	78852	922673
M_78861_918762	"WEST STREET"	234	0	78861	918762
M_78875_918435	"WEST STREET"	0	0	78875	918435
M_78875_919563	"WEST STREET"	180	0	78875	919563
M_78879_922224	"WEST MAIN STREET"	0	0	78879	922224
M_78902_922199	"WINDSOR POND ROAD"	3	0	78902	922199
M_78930_922207	"WEST MAIN STREET"	791	0	78930	922207
M_78937_917663	"WEST STREET"	0	0	78937	917663
M_78953_919088	"WEST STREET"	0	0	78953	919088
M_78961_918679	"WEST STREET"	237	0	78961	918679
M_78967_919912	"WEST STREET"	0	0	78967	919912
M_78971_922195	"WEST MAIN STREET"	789	0	78971	922195
M_79014_922181	"WEST MAIN STREET"	0	0	79014	922181
M_79018_918322	"WEST STREET"	269	0	79018	918322
M_79037_920141	"WEST STREET"	0	0	79037	920141
M_79037_922393	"WEST MAIN STREET"	788	0	79037	922393
M_79040_919749	"WEST STREET"	161	0	79040	919749
M_79072_919835	"WEST STREET"	0	0	79072	919835
M_79075_920238	"WEST STREET"	0	0	79075	920238
M_79082_918213	"WEST STREET"	0	0	79082	918213
M_79084_922163	"WEST MAIN STREET"	0	0	79084	922163
M_79096_920332	"WEST STREET"	126	0	79096	920332
M_79101_917258	"WEST STREET"	0	0	79101	917258
M_79102_917310	"WEST STREET"	0	0	79102	917310
M_79108_918036	"WEST STREET"	287	0	79108	918036
M_79120_920411	"WEST STREET"	120	0	79120	920411
M_79131_917809	"WEST STREET"	0	0	79131	917809
M_79132_920484	"WEST STREET"	114	0	79132	920484
M_79133_920742	"WEST STREET"	96	0	79133	920742
M_79135_920566	"WEST STREET"	108	0	79135	920566
M_79158_922215	"WEST MAIN STREET"	780	0	79158	922215
M_79164_922281	"WEST MAIN STREET"	782	0	79164	922281
M_79193_919406	"WEST STREET"	187	0	79193	919406
M_79202_922135	"WEST MAIN STREET"	0	0	79202	922135
M_79209_917553	"WEST STREET"	0	0	79209	917553
M_79233_920628	"WEST STREET"	107	0	79233	920628
M_79236_920748	"WEST STREET"	0	0	79236	920748
M_79241_922268	"WEST MAIN STREET"	770	0	79241	922268
M_79259_921114	"WEST STREET"	0	0	79259	921114
M_79264_918905	"WEST STREET"	217	0	79264	918905
M_79267_923267	"WEST MAIN STREET"	772	0	79267	923267
M_79270_922421	"WEST MAIN STREET"	774	0	79270	922421
M_79284_917978	"WEST STREET"	291	0	79284	917978
M_79285_918338	"WEST STREET"	267	0	79285	918338
M_79323_920940	"WEST STREET"	79	0	79323	920940
M_79338_919742	"WEST STREET"	0	0	79338	919742
M_79341_919165	"WEST STREET"	0	0	79341	919165
M_79361_918694	"WEST STREET"	229	0	79361	918694
M_79362_919010	"WEST STREET"	203	0	79362	919010
M_79386_921460	"WEST STREET"	0	0	79386	921460
M_79419_920963	"WEST STREET"	73	0	79419	920963
M_79433_922396	"WEST MAIN STREET"	0	0	79433	922396
M_79462_921131	"WEST STREET"	61	0	79462	921131
M_79518_920662	"WEST STREET"	93	0	79518	920662
M_79518_921892	"WEST MAIN STREET"	0	0	79518	921892
M_79540_920184	"WEST STREET"	0	0	79540	920184
M_79594_922314	"WEST MAIN STREET"	752	0	79594	922314
M_79622_921572	"WEST STREET"	31	0	79622	921572
M_79635_917818	"WEST STREET"	0	0	79635	917818
M_79662_920980	"WEST STREET"	0	0	79662	920980
M_79667_922291	"WEST MAIN STREET"	746	0	79667	922291
M_79716_922817	"STETSON AVENUE"	0	0	79716	922817
M_79768_922469	"STETSON AVENUE"	39	0	79768	922469
M_79800_917284	"WEST STREET"	0	0	79800	917284
M_79800_922237	"WEST MAIN STREET"	0	0	79800	922237
M_79802_922500	"STETSON AVENUE"	37	0	79802	922500
M_79815_921348	"WEST STREET"	0	0	79815	921348
M_79820_922505	"STETSON AVENUE"	35	0	79820	922505
M_79824_922995	"STETSON AVENUE"	80	0	79824	922995
M_79825_919322	"OFF WEST STREET"	0	0	79825	919322
M_79832_922506	"STETSON AVENUE"	0	0	79832	922506
M_79833_921673	"WEST STREET"	17	0	79833	921673
M_79858_922505	"STETSON AVENIUE"	33	0	79858	922505
M_79896_922510	"STETSON AVENUE"	31	0	79896	922510
M_79912_922075	"STETSON AVENUE"	4	0	79912	922075
M_79924_922533	"STETSON AVENUE"	43	0	79924	922533
M_79945_918374	"OFF WEST STREET"	0	0	79945	918374
M_79977_922542	"STETSON AVENUE"	0	0	79977	922542
M_79994_922150	"STETSON AVENUE"	10	0	79994	922150
M_80007_920077	"OFF WEST STREET"	0	0	80007	920077
M_80058_922361	"STETSON AVENUE"	18	0	80058	922361
M_80089_922683	"STETSON AVENUE"	0	0	80089	922683
M_80099_923191	"OFF STETSON AVENUE"	0	0	80099	923191
M_80166_921704	"WEST MAIN STREET"	727	0	80166	921704
M_80214_922547	"STETSON AVENUE"	52	0	80214	922547
M_80469_922070	"WEST MAIN STREET"	0	0	80469	922070
M_80517_921890	"WEST MAIN STREET"	0	0	80517	921890
M_80543_917748	"MOUNTAIN STREET"	33	0	80543	917748
